01-2015	02-2015	03-2015	04-2015	05-2015	06-2015	07-2015	from	to
0	0	0	0	0	0	0	Albánie	Černá Hora
8	17	10	14	25	40		Albánie	Nizozemsko
11	24	35	27	44	46		Albánie	Norsko
0	0	0	0	0	0		Albánie	Polsko
1	0	0	0	0			Albánie	Portugalsko
0	1	0	0	0	0		Albánie	Rumunsko
0	0	1	0	0	0	0	Albánie	Srbsko a Kosovo
0	0	0	0	0	0		Albánie	Slovensko
0	0	0	1	1	0		Albánie	Slovinsko
0	0	1	1	1	0		Albánie	Španělsko
97	125	182	153	169	194	361	Albánie	Švédsko
10	6	12	22	30	18	18	Albánie	Švýcarsko
0	0	0	0	0	0	0	Albánie	Makedonie
0	0	0	0	0	0	0	Albánie	Turecko
140	126	145	134	135			Albánie	Británie
7	9	17	6	1	6	12	Albánie	Kanada
25	16	17	14	28	13	15	Albánie	Spojené státy americké
0	1	1	1	0	6	0	Albánie	Austrálie
0	0	0	0	0	0	0	Albánie	Nový Zéland
0	0	0	0	0			Albánie	Japonsko
0	0	0	0	0	0		Albánie	Jižní Korea
1	0	1	0	0	5		Eritrea	Albánie
0	0	0	0	0	0		Eritrea	Rakousko
11	7	17	37	56	36		Eritrea	Belgie
0	0	0	0	0	0	0	Eritrea	Bosna a Hercegovina
1	0	0	0	0	0	0	Eritrea	Bulharsko
0	0	0	0	1	0	0	Eritrea	Chorvatsko
0	0	0	0	0	0		Eritrea	Kypr
0	0	0	0	0	0		Eritrea	Česko
5	10	21	76	214			Eritrea	Dánsko
0	0	0	0	0	0	0	Eritrea	Estonsko
0	0	1	0	1			Eritrea	Finsko
82	73	74	84	192	104		Eritrea	Francie
620	350	306	362	612	1063	1209	Eritrea	Německo
17	7	9	1	11	9		Eritrea	Řecko
12	0	15	44	42	36		Eritrea	Maďarsko
0	0	0	0	0			Eritrea	Island
0	0	0	0	0	0		Eritrea	Irsko
33	40	39	25	15	41		Eritrea	Itálie
0	0	0	0	0	0	0	Eritrea	Lotyšsko
0	0	1	0	0	0	0	Eritrea	Lichtenštejnsko
0	0	0	0	1	0	0	Eritrea	Litva
1	1	5	1	7	1	6	Eritrea	Lucembursko
0	0	1	1	1	1		Eritrea	Malta
35	40	27	18	34	12	0	Eritrea	Černá Hora
25	18	83	354	1078	1248		Eritrea	Nizozemsko
50	36	43	131	570	199		Eritrea	Norsko
0	0	1	0	1	0		Eritrea	Polsko
0	0	0	0	0			Eritrea	Portugalsko
0	0	1	0	0	0		Eritrea	Rumunsko
87	79	84	30	76	64	371	Eritrea	Srbsko a Kosovo
0	0	0	0	0	0		Eritrea	Slovensko
0	0	0	0	0	0		Eritrea	Slovinsko
0	0	1	0	0	1		Eritrea	Španělsko
182	168	205	396	1045	964	814	Eritrea	Švédsko
136	157	250	222	799	2191	2120	Eritrea	Švýcarsko
1	0	0	0	1	0	0	Eritrea	Makedonie
6	5	10	12	7	1	1	Eritrea	Turecko
308	203	193	92	268			Eritrea	Británie
42	14	23	21	8	13	38	Eritrea	Kanada
45	40	49	51	48	55	32	Eritrea	Spojené státy americké
0	1	1	0	0	1	0	Eritrea	Austrálie
0	0	0	1	0	0	0	Eritrea	Nový Zéland
0	0	0	0	0			Eritrea	Japonsko
0	0	0	0	0	0		Eritrea	Jižní Korea
0	0	0	0	0	0		Pákistán	Albánie
70	52	84	200	322	393		Pákistán	Rakousko
14	16	18	9	10	44		Pákistán	Belgie
0	0	0	0	0	0	0	Pákistán	Bosna a Hercegovina
36	60	107	65	36	37	24	Pákistán	Bulharsko
0	0	0	0	0	1	0	Pákistán	Chorvatsko
8	1	8	6	1	7		Pákistán	Kypr
0	0	0	0	1	0		Pákistán	Česko
7	6	9	1	1			Pákistán	Dánsko
0	0	0	0	0	0		Pákistán	Estonsko
1	1	1	1	0			Pákistán	Finsko
121	137	159	141	99	126		Pákistán	Francie
419	342	225	434	431	812	666	Pákistán	Německo
163	137	95	124	152	138		Pákistán	Řecko
66	143	336	454	730	1481		Pákistán	Maďarsko
0	0	0	0	0			Pákistán	Island
77	92	99	139	123	176		Pákistán	Irsko
431	442	486	448	504	452		Pákistán	Itálie
0	0	0	0	0	0	0	Pákistán	Lotyšsko
0	0	0	0	0	0	0	Pákistán	Lichtenštejnsko
0	0	0	0	0	0	0	Pákistán	Litva
1	1	0	0	0	1	0	Pákistán	Lucembursko
0	0	0	0	1	0		Pákistán	Malta
0	1	0	0	0	1	0	Pákistán	Černá Hora
29	12	10	1	8	26		Pákistán	Nizozemsko
1	5	1	1	11	9		Pákistán	Norsko
0	1	1	0	1	1		Pákistán	Polsko
6	1	6	1	0			Pákistán	Portugalsko
1	1	1	0	0	1		Pákistán	Rumunsko
40	44	101	79	170	390	880	Pákistán	Srbsko a Kosovo
0	0	0	0	0	0		Pákistán	Slovensko
0	0	1	1	0	0		Pákistán	Slovinsko
6	7	6	10	6	0		Pákistán	Španělsko
35	21	13	10	30	40	43	Pákistán	Švédsko
18	12	10	10	7	8	12	Pákistán	Švýcarsko
0	1	1	9	1	36	8	Pákistán	Makedonie
65	30	48	56	69	47	18	Pákistán	Turecko
265	230	251	196	239			Pákistán	Británie
49	83	63	49	76	56	104	Pákistán	Kanada
58	60	81	70	67	93	80	Pákistán	Spojené státy americké
37	44	74	71	38	72	45	Pákistán	Austrálie
0	1	1	1	1	6	1	Pákistán	Nový Zéland
22	29	23	21	20			Pákistán	Japonsko
56	55	85	82	90	117		Pákistán	Jižní Korea
0	0	0	0	0	1		Somálsko	Albánie
100	138	134	270	278	234		Somálsko	Rakousko
30	28	85	94	424	276		Somálsko	Belgie
0	0	0	0	0	0	0	Somálsko	Bosna a Hercegovina
0	0	0	0	0	0	0	Somálsko	Bulharsko
0	1	0	0	0	1	0	Somálsko	Chorvatsko
1	1	10	6	1	0		Somálsko	Kypr
0	0	0	0	1	0		Somálsko	Česko
33	35	18	31	25			Somálsko	Dánsko
0	0	0	0	0	0	0	Somálsko	Estonsko
47	66	78	69	185			Somálsko	Finsko
93	50	94	81	95	99		Somálsko	Francie
341	418	283	396	414	590	487	Somálsko	Německo
15	17	11	9	6	12		Somálsko	Řecko
9	11	16	31	9	36		Somálsko	Maďarsko
0	0	0	0	0			Somálsko	Island
1	1	1	1	0	1		Somálsko	Irsko
48	43	73	44	91	58		Somálsko	Itálie
0	0	0	0	0	0	0	Somálsko	Lotyšsko
0	1	0	0	1	0	1	Somálsko	Lichtenštejnsko
0	0	0	0	0	0	0	Somálsko	Litva
1	1	1	0	0	0	0	Somálsko	Lucembursko
0	0	1	1	1	1		Somálsko	Malta
21	121	14	0	0	0	0	Somálsko	Černá Hora
18	15	20	7	21	10		Somálsko	Nizozemsko
29	23	49	18	40	43		Somálsko	Norsko
1	0	0	1	0	0		Somálsko	Polsko
0	0	0	0	0			Somálsko	Portugalsko
1	0	1	0	1	0		Somálsko	Rumunsko
78	368	329	203	230	462	367	Somálsko	Srbsko a Kosovo
0	0	0	0	0	0		Somálsko	Slovensko
0	1	1	0	0	5		Somálsko	Slovinsko
6	1	22	13	5	1		Somálsko	Španělsko
277	264	339	219	453	409	353	Somálsko	Švédsko
67	49	71	32	171	235	143	Somálsko	Švýcarsko
9	0	0	12	16	20	0	Somálsko	Makedonie
58	81	77	46	31	23	78	Somálsko	Turecko
29	39	38	34	27			Somálsko	Británie
26	31	12	28	26	33	46	Somálsko	Kanada
1	0	9	5	8	5	9	Somálsko	Spojené státy americké
0	0	0	1	1	1	0	Somálsko	Austrálie
0	0	0	0	0	0	0	Somálsko	Nový Zéland
0	0	0	0	0			Somálsko	Japonsko
0	0	0	0	0	0		Somálsko	Jižní Korea
0	0	0	0	0	0		Čína	Albánie
0	0	0	0	0	0		Čína	Rakousko
9	9	12	8	7	7		Čína	Belgie
0	0	0	0	0	0	0	Čína	Bosna a Hercegovina
0	0	0	0	0	0	0	Čína	Bulharsko
0	0	0	0	0	0	0	Čína	Chorvatsko
0	0	0	0	1	0		Čína	Kypr
0	0	0	1	0	0		Čína	Česko
5	0	0	0	5			Čína	Dánsko
0	0	0	0	0	0	0	Čína	Estonsko
1	1	1	1	0			Čína	Finsko
207	248	208	247	237	257		Čína	Francie
23	30	34	31	42	68	37	Čína	Německo
5	1	7	1	7	7		Čína	Řecko
1	1	1	0	0	0		Čína	Maďarsko
0	0	0	0	0			Čína	Island
0	0	1	0	1	1		Čína	Irsko
5	8	26	19	8	32		Čína	Itálie
0	0	0	0	0	0	0	Čína	Lotyšsko
1	0	0	0	1	1	0	Čína	Lichtenštejnsko
0	0	0	0	0	0	0	Čína	Litva
0	0	0	0	0	0	0	Čína	Lucembursko
1	1	0	0	0	0		Čína	Malta
0	0	0	0	0	0	0	Čína	Černá Hora
16	60	29	14	8	27		Čína	Nizozemsko
11	1	1	5	7	1		Čína	Norsko
1	0	0	1	0	1		Čína	Polsko
0	0	18	19	1			Čína	Portugalsko
1	1	1	1	0	1		Čína	Rumunsko
0	0	0	0	0	0	1	Čína	Srbsko a Kosovo
0	0	0	0	0	0		Čína	Slovensko
0	0	0	0	0	0		Čína	Slovinsko
23	26	25	12	11	10		Čína	Španělsko
7	1	6	1	9	9	1	Čína	Švédsko
48	37	43	29	72	56	28	Čína	Švýcarsko
0	0	0	0	0	0	0	Čína	Makedonie
0	0	0	1	0	0	5	Čína	Turecko
54	44	56	35	50			Čína	Británie
143	131	139	151	134	112	96	Čína	Kanada
1143	1037	1204	1189	1186	1326	1094	Čína	Spojené státy americké
80	95	123	109	132	147	124	Čína	Austrálie
1	1	7	1	0	1	1	Čína	Nový Zéland
1	1	7	28	39			Čína	Japonsko
38	29	22	12	25	20		Čína	Jižní Korea
0	0	0	0	1	1		Ukrajina	Albánie
58	43	52	56	43	43		Ukrajina	Rakousko
39	32	46	43	17	31		Ukrajina	Belgie
0	0	1	0	0	0	0	Ukrajina	Bosna a Hercegovina
11	6	16	8	1	1	1	Ukrajina	Bulharsko
0	0	0	1	1	1	0	Ukrajina	Chorvatsko
1	8	10	11	9	5		Ukrajina	Kypr
49	50	78	65	36	40		Ukrajina	Česko
9	1	10	6	5			Ukrajina	Dánsko
1	9	14	9	1	15	10	Ukrajina	Estonsko
1	6	10	1	1			Ukrajina	Finsko
124	114	154	182	123	128		Ukrajina	Francie
262	337	392	453	502	631	379	Ukrajina	Německo
22	18	28	25	18	22		Ukrajina	Řecko
1	0	7	1	5	1		Ukrajina	Maďarsko
0	0	0	0	0			Ukrajina	Island
5	0	7	0	8	1		Ukrajina	Irsko
243	459	445	540	360	350		Ukrajina	Itálie
5	8	5	9	1	0	7	Ukrajina	Lotyšsko
0	1	1	1	1	0	0	Ukrajina	Lichtenštejnsko
1	14	1	12	1	1	1	Ukrajina	Litva
1	5	0	6	1	1	1	Ukrajina	Lucembursko
1	5	1	1	9	8		Ukrajina	Malta
0	0	1	1	0	0	0	Ukrajina	Černá Hora
24	34	40	45	51	73		Ukrajina	Nizozemsko
7	12	7	12	1	8		Ukrajina	Norsko
204	235	190	147	103	153		Ukrajina	Polsko
28	60	37	31	38			Ukrajina	Portugalsko
1	9	1	1	1	9		Ukrajina	Rumunsko
1	1	5	0	0	1	1	Ukrajina	Srbsko a Kosovo
1	0	1	1	1	0		Ukrajina	Slovensko
0	8	1	0	0	0		Ukrajina	Slovinsko
145	45	35	24	28	44		Ukrajina	Španělsko
78	116	163	130	113	158	131	Ukrajina	Švédsko
38	40	34	24	26	17	16	Ukrajina	Švýcarsko
0	0	0	0	0	0	0	Ukrajina	Makedonie
0	0	0	0	0	0	0	Ukrajina	Turecko
19	18	14	39	23			Ukrajina	Británie
34	37	56	36	17	24	35	Ukrajina	Kanada
114	136	169	161	246	177	158	Ukrajina	Spojené státy americké
5	0	5	1	1	1	1	Ukrajina	Austrálie
1	0	1	0	0	0	0	Ukrajina	Nový Zéland
1	7	0	1	0			Ukrajina	Japonsko
1	0	1	0	1	1		Ukrajina	Jižní Korea
