01-2015	02-2015	03-2015	04-2015	05-2015	06-2015	07-2015	from	to
0	0	0	28	1	37		Sýrie	Albánie
898	659	835	1020	1833	2401		Sýrie	Rakousko
256	204	222	204	270	513		Sýrie	Belgie
0	1	0	0	0	0	1	Sýrie	Bosna a Hercegovina
591	460	401	547	530	852	677	Sýrie	Bulharsko
6	7	1	0	0	0	0	Sýrie	Chorvatsko
72	43	58	53	61	58		Sýrie	Kypr
6	7	9	1	11	12		Sýrie	Česko
307	148	152	241	313			Sýrie	Dánsko
0	0	1	8	1	1	0	Sýrie	Estonsko
17	13	10	13	12			Sýrie	Finsko
164	304	232	285	205	296		Sýrie	Francie
5340	4023	4420	4224	4810	7301	9136	Sýrie	Německo
237	239	247	275	353	384		Sýrie	Řecko
535	613	1263	1752	2034	4650		Sýrie	Maďarsko
0	0	0	0	0			Sýrie	Island
0	0	1	1	11	1		Sýrie	Irsko
32	25	26	36	13	24		Sýrie	Itálie
0	0	0	0	1	5	0	Sýrie	Lotyšsko
0	0	0	0	0	1	0	Sýrie	Lichtenštejnsko
0	0	0	0	0	0	1	Sýrie	Litva
0	1	11	9	1	8	20	Sýrie	Lucembursko
13	9	11	10	17	18		Sýrie	Malta
124	101	153	209	281	113	0	Sýrie	Černá Hora
315	189	192	236	445	737		Sýrie	Nizozemsko
114	83	76	89	93	183		Sýrie	Norsko
10	1	13	1	16	10		Sýrie	Polsko
0	0	0	0	1			Sýrie	Portugalsko
59	29	75	133	39	39		Sýrie	Rumunsko
1164	801	1628	1912	4564	8335	19598	Sýrie	Srbsko a Kosovo
0	0	1	1	1	0		Sýrie	Slovensko
1	0	0	0	0	1		Sýrie	Slovinsko
416	301	554	673	448	424		Sýrie	Španělsko
1536	923	919	967	1173	1712	2475	Sýrie	Švédsko
134	148	96	137	88	125	235	Sýrie	Švýcarsko
123	40	75	56	95	382	168	Sýrie	Makedonie
1	8	11	21	9	14	9	Sýrie	Turecko
258	167	160	110	139			Sýrie	Británie
47	32	20	15	35	73	55	Sýrie	Kanada
118	56	79	64	76	71	81	Sýrie	Spojené státy americké
8	8	1	1	1	9	1	Sýrie	Austrálie
0	0	0	0	0	6	1	Sýrie	Nový Zéland
1	0	0	1	0			Sýrie	Japonsko
26	9	14	7	9	28		Sýrie	Jižní Korea
0	0	0	0	1	0		Afghánistán	Albánie
652	418	569	739	1488	1771		Afghánistán	Rakousko
124	87	53	79	134	255		Afghánistán	Belgie
1	0	0	1	0	0		Afghánistán	Bosna a Hercegovina
275	345	259	233	291	253	522	Afghánistán	Bulharsko
5	0	1	0	0	0	0	Afghánistán	Chorvatsko
0	0	0	0	0	0		Afghánistán	Kypr
0	1	1	1	1	6		Afghánistán	Česko
23	25	25	23	44			Afghánistán	Dánsko
0	0	0	0	0	1	0	Afghánistán	Estonsko
12	16	26	11	23			Afghánistán	Finsko
41	53	78	75	38	85		Afghánistán	Francie
1129	969	885	1119	1151	2051	2104	Afghánistán	Německo
180	191	180	191	139	137		Afghánistán	Řecko
1374	1193	1450	2260	4658	6713		Afghánistán	Maďarsko
0	0	0	0	0			Afghánistán	Island
1	8	0	7	1	7		Afghánistán	Irsko
289	406	294	244	230	312		Afghánistán	Itálie
0	0	0	0	0	13	7	Afghánistán	Lotyšsko
0	0	0	0	0	0	0	Afghánistán	Lichtenštejnsko
0	0	1	1	1	0	1	Afghánistán	Litva
1	0	0	0	0	1	1	Afghánistán	Lucembursko
0	0	0	0	0	0		Afghánistán	Malta
1	1	0	0	0	0	0	Afghánistán	Černá Hora
34	34	29	45	42	51		Afghánistán	Nizozemsko
66	38	52	54	147	257		Afghánistán	Norsko
0	1	0	0	1	1		Afghánistán	Polsko
0	0	1	1	0			Afghánistán	Portugalsko
7	5	10	1	6	1		Afghánistán	Rumunsko
809	843	1062	1591	2849	3753	4387	Afghánistán	Srbsko a Kosovo
0	1	0	0	6	0		Afghánistán	Slovensko
0	1	8	1	1	1		Afghánistán	Slovinsko
1	1	0	1	0	0		Afghánistán	Španělsko
323	247	258	228	408	724	1194	Afghánistán	Švédsko
88	89	39	67	108	155	251	Afghánistán	Švýcarsko
39	84	36	5	88	55	14	Afghánistán	Makedonie
566	809	1220	2025	2851	4622	5250	Afghánistán	Turecko
108	109	122	118	133			Afghánistán	Británie
45	30	32	20	18	25	37	Afghánistán	Kanada
26	32	23	24	26	21	24	Afghánistán	Spojené státy americké
1	7	5	8	13	32	38	Afghánistán	Austrálie
1	1	1	1	0	1	0	Afghánistán	Nový Zéland
1	0	1	0	0			Afghánistán	Japonsko
0	1	0	0	6	1		Afghánistán	Jižní Korea
0	0	0	0	0	0		Srbsko a Kosovo	Albánie
1080	943	137	82	79	47		Srbsko a Kosovo	Rakousko
93	106	73	50	44	60		Srbsko a Kosovo	Belgie
0	0	0	1	0	0	1	Srbsko a Kosovo	Bosna a Hercegovina
0	0	0	0	0	0	0	Srbsko a Kosovo	Bulharsko
0	1	0	5	1	0	1	Srbsko a Kosovo	Chorvatsko
0	0	0	0	0	1		Srbsko a Kosovo	Kypr
7	1	0	0	0	0		Srbsko a Kosovo	Česko
14	43	18	10	31			Srbsko a Kosovo	Dánsko
0	0	0	0	0	0	0	Srbsko a Kosovo	Estonsko
16	30	22	17	22			Srbsko a Kosovo	Finsko
430	618	626	462	335	385		Srbsko a Kosovo	Francie
5076	8784	12856	5781	3176	2777	2654	Srbsko a Kosovo	Německo
0	0	0	0	0	0		Srbsko a Kosovo	Řecko
9014	13448	385	265	157	76		Srbsko a Kosovo	Maďarsko
0	0	0	0	0			Srbsko a Kosovo	Island
1	1	1	0	1	1		Srbsko a Kosovo	Irsko
26	21	57	24	30	24		Srbsko a Kosovo	Itálie
0	0	0	0	0	0	0	Srbsko a Kosovo	Lotyšsko
0	0	0	1	1	11	1	Srbsko a Kosovo	Lichtenštejnsko
0	0	0	0	0	0	0	Srbsko a Kosovo	Litva
19	38	22	13	17	31	19	Srbsko a Kosovo	Lucembursko
0	0	0	0	1	0		Srbsko a Kosovo	Malta
0	0	1	0	1	1	0	Srbsko a Kosovo	Černá Hora
32	40	34	36	101	186		Srbsko a Kosovo	Nizozemsko
34	41	27	23	13	20		Srbsko a Kosovo	Norsko
0	0	0	0	0	0		Srbsko a Kosovo	Polsko
0	0	0	0	0			Srbsko a Kosovo	Portugalsko
0	0	0	1	0	0		Srbsko a Kosovo	Rumunsko
0	0	0	0	0	0	0	Srbsko a Kosovo	Srbsko a Kosovo
0	0	0	0	0	0		Srbsko a Kosovo	Slovensko
1	1	1	0	1	1		Srbsko a Kosovo	Slovinsko
7	0	1	0	1	0		Srbsko a Kosovo	Španělsko
369	491	261	199	151	142	129	Srbsko a Kosovo	Švédsko
116	82	67	50	55	43	14	Srbsko a Kosovo	Švýcarsko
0	0	0	0	0	0	0	Srbsko a Kosovo	Makedonie
0	0	0	0	0	0	0	Srbsko a Kosovo	Turecko
1	0	5	5	1			Srbsko a Kosovo	Británie
1	1	6	9	1	1	0	Srbsko a Kosovo	Kanada
22	20	20	30	48	26	12	Srbsko a Kosovo	Spojené státy americké
0	0	0	0	0	0	0	Srbsko a Kosovo	Austrálie
0	0	0	0	0	0	0	Srbsko a Kosovo	Nový Zéland
0	0	0	0	0			Srbsko a Kosovo	Japonsko
0	0	0	0	0	0		Srbsko a Kosovo	Jižní Korea
0	0	0	0	0	1		Irák	Albánie
290	201	308	480	1071	1232		Irák	Rakousko
115	62	89	62	170	411		Irák	Belgie
0	0	0	0	1	0	1	Irák	Bosna a Hercegovina
99	97	272	236	434	417	560	Irák	Bulharsko
0	0	0	0	0	0	0	Irák	Chorvatsko
5	0	6	0	1	10		Irák	Kypr
1	0	1	0	1	1		Irák	Česko
10	5	7	5	14			Irák	Dánsko
0	0	0	0	0	1	1	Irák	Estonsko
104	74	81	76	113			Irák	Finsko
86	395	251	201	160	233		Irák	Francie
901	835	1052	1282	1382	1975	1987	Irák	Německo
21	16	13	23	26	26		Irák	Řecko
127	228	452	661	727	1038		Irák	Maďarsko
0	0	0	0	0			Irák	Island
1	1	1	1	1	1		Irák	Irsko
43	38	35	20	23	32		Irák	Itálie
0	0	0	0	1	6	0	Irák	Lotyšsko
0	0	0	0	0	0	0	Irák	Lichtenštejnsko
0	0	0	0	0	1	15	Irák	Litva
0	1	1	1	8	1	1	Irák	Lucembursko
0	0	1	0	0	0		Irák	Malta
1	1	0	7	22	1	0	Irák	Černá Hora
47	32	32	33	39	53		Irák	Nizozemsko
22	13	6	9	10	19		Irák	Norsko
7	1	9	1	0	1		Irák	Polsko
0	0	0	0	1			Irák	Portugalsko
11	10	22	45	21	16		Irák	Rumunsko
77	208	284	339	694	1200	1942	Irák	Srbsko a Kosovo
0	1	15	0	1	0		Irák	Slovensko
1	0	0	0	1	1		Irák	Slovinsko
7	20	5	8	24	8		Irák	Španělsko
187	138	137	154	149	232	299	Irák	Švédsko
23	39	19	26	26	31	64	Irák	Švýcarsko
1	9	23	28	11	58	11	Irák	Makedonie
4427	4187	4154	4170	3391	5363	6858	Irák	Turecko
108	86	88	64	81			Irák	Británie
64	30	33	18	18	21	52	Irák	Kanada
131	100	128	98	85	96	92	Irák	Spojené státy americké
21	61	50	60	62	144	81	Irák	Austrálie
0	0	0	1	1	1	0	Irák	Nový Zéland
1	1	1	0	1			Irák	Japonsko
9	0	1	14	0	5		Irák	Jižní Korea
0	0	0	0	0	0		Albánie	Albánie
0	0	0	0	0	0		Albánie	Rakousko
46	28	45	40	31	38		Albánie	Belgie
0	0	0	0	0	0	0	Albánie	Bosna a Hercegovina
0	0	0	0	0	0	0	Albánie	Bulharsko
0	0	0	0	1	0	0	Albánie	Chorvatsko
0	0	0	0	0	0		Albánie	Kypr
0	0	0	0	0	0		Albánie	Česko
0	1	1	1	1			Albánie	Dánsko
0	0	0	0	0	0	0	Albánie	Estonsko
1	15	7	14	25			Albánie	Finsko
169	144	181	201	203	161		Albánie	Francie
1598	1735	2955	4743	4864	5837	7547	Albánie	Německo
27	33	46	29	44	55		Albánie	Řecko
25	34	22	36	21	22		Albánie	Maďarsko
0	0	5	5	0			Albánie	Island
21	10	10	19	16	19		Albánie	Irsko
24	40	26	39	22	26		Albánie	Itálie
0	0	0	0	0	0	0	Albánie	Lotyšsko
0	0	0	0	0	1	1	Albánie	Lichtenštejnsko
0	0	0	0	0	0	0	Albánie	Litva
6	1	7	1	14	7	10	Albánie	Lucembursko
0	0	0	0	0	0		Albánie	Malta
